Simulation,StateR,StateC,TargetR,TargetC,Action,Reward
S1,4,3,3,1,DOWN,-1
S1,5,3,3,1,RIGHT,-1
S1,5,4,3,1,UP,1
S1,4,4,3,1,RIGHT,-1
S1,4,5,3,1,RIGHT,4
S1,4,1,3,1,LEFT,-4
S1,4,5,3,1,UP,1
S1,3,5,3,1,DOWN,-1
S1,4,5,3,1,RIGHT,4
S1,4,1,3,1,RIGHT,-1
S1,4,2,3,1,DOWN,-1
S1,5,2,3,1,RIGHT,-1
S1,5,3,3,1,RIGHT,-1
S1,5,4,3,1,UP,1
S1,4,4,3,1,RIGHT,-1
S1,4,5,3,1,DOWN,-1
S1,5,5,3,1,LEFT,1
S1,5,4,3,1,RIGHT,-1
S1,5,5,3,1,UP,1
S1,4,5,3,1,LEFT,1
S1,4,4,3,1,DOWN,-1
S1,5,4,3,1,DOWN,0
S1,1,4,3,1,LEFT,1
S1,1,3,3,1,LEFT,1
S1,1,2,3,1,DOWN,1
S1,2,2,3,1,DOWN,1
S1,3,2,3,1,RIGHT,-1
S1,3,3,3,1,RIGHT,-1
S1,3,4,3,1,LEFT,1
S1,3,3,3,1,RIGHT,-1
S1,3,4,3,1,RIGHT,-1
S1,3,5,3,1,UP,-1
S1,2,5,3,1,LEFT,1
S1,2,4,3,1,RIGHT,-1
S1,2,5,3,1,UP,-1
S1,1,5,3,1,LEFT,1
S1,1,4,3,1,UP,0
S1,5,4,3,1,RIGHT,-1
S1,5,5,3,1,LEFT,1
S1,5,4,3,1,UP,1
S1,4,4,3,1,LEFT,1
S1,4,3,3,1,UP,1
S1,3,3,3,1,UP,-1
S1,2,3,3,1,RIGHT,-1
S1,2,4,3,1,DOWN,1
S1,3,4,3,1,UP,-1
S1,2,4,3,1,DOWN,1
S1,3,4,3,1,DOWN,-1
S1,4,4,3,1,DOWN,-1
S1,5,4,3,1,RIGHT,-1
S1,5,5,3,1,RIGHT,4
S1,5,1,3,1,DOWN,0
S1,1,1,3,1,DOWN,1
S1,2,1,3,1,UP,-1
S1,1,1,3,1,UP,0
S1,5,1,3,1,LEFT,-4
S1,5,5,3,1,DOWN,0
S1,1,5,3,1,DOWN,1
S1,2,5,3,1,LEFT,1
S1,2,4,3,1,DOWN,1
S1,3,4,3,1,LEFT,1
S1,3,3,3,1,UP,-1
S1,2,3,3,1,UP,-1
S1,1,3,3,1,LEFT,1
S1,1,2,3,1,UP,0
S1,5,2,3,1,DOWN,0
S1,1,2,3,1,RIGHT,-1
S1,1,3,3,1,DOWN,1
S1,2,3,3,1,RIGHT,-1
S1,2,4,3,1,DOWN,1
S1,3,4,3,1,DOWN,-1
S1,4,4,3,1,RIGHT,-1
